estado_destino,ano_mes_compra,total_pedidos,media_dias_entrega,pedidos_atrasados,percentual_atraso,custo_medio_frete
SP,2016-09,1,54.8,1,100.0,8.49
MA,2016-10,4,28.2,1,25.0,73.65
SP,2016-10,94,18.5,2,2.1,17.54
AL,2016-10,1,33.1,0,0.0,26.61
BA,2016-10,3,20.8,0,0.0,25.38
CE,2016-10,6,27.2,0,0.0,39.28
DF,2016-10,6,23.0,0,0.0,26.06
ES,2016-10,3,24.8,0,0.0,44.01
GO,2016-10,7,14.1,0,0.0,21.66
MG,2016-10,35,19.8,0,0.0,18.93
MT,2016-10,1,7.0,0,0.0,53.64
PA,2016-10,4,27.5,0,0.0,48.87
PB,2016-10,1,37.7,0,0.0,24.84
PE,2016-10,6,18.0,0,0.0,49.06
PI,2016-10,1,27.2,0,0.0,36.09
PR,2016-10,19,17.1,0,0.0,24.76
RJ,2016-10,40,19.2,0,0.0,20.67
RN,2016-10,4,27.2,0,0.0,38.16
RR,2016-10,1,8.6,0,0.0,29.32
RS,2016-10,17,18.9,0,0.0,22.03
SC,2016-10,9,18.4,0,0.0,29.18
SE,2016-10,3,30.5,0,0.0,20.16
PR,2016-12,1,4.7,0,0.0,8.72
MA,2017-01,6,24.8,1,16.7,25.56
DF,2017-01,13,21.5,2,15.4,21.39
CE,2017-01,8,25.6,1,12.5,23.83
ES,2017-01,9,16.5,1,11.1,21.62
PE,2017-01,9,20.8,1,11.1,29.72
RJ,2017-01,91,13.9,4,4.4,21.48
BA,2017-01,24,15.0,1,4.2,22.39
SC,2017-01,26,16.8,1,3.8,20.54
PR,2017-01,62,11.9,2,3.2,15.09
SP,2017-01,283,10.5,8,2.8,18.46
RS,2017-01,52,13.0,1,1.9,23.77
AC,2017-01,2,20.8,0,0.0,66.77
AL,2017-01,2,15.4,0,0.0,30.2
GO,2017-01,18,12.8,0,0.0,23.93
MG,2017-01,102,10.9,0,0.0,22.46
MS,2017-01,1,11.7,0,0.0,21.36
MT,2017-01,9,15.8,0,0.0,29.89
PA,2017-01,10,15.1,0,0.0,26.46
PB,2017-01,2,11.2,0,0.0,26.66
PI,2017-01,7,15.1,0,0.0,29.02
RN,2017-01,5,10.3,0,0.0,28.65
RO,2017-01,3,28.5,0,0.0,47.77
SE,2017-01,4,13.3,0,0.0,29.5
TO,2017-01,2,13.3,0,0.0,23.48
MS,2017-02,11,19.9,1,9.1,35.56
PB,2017-02,11,20.6,1,9.1,31.68
BA,2017-02,58,21.6,5,8.6,26.32
AL,2017-02,12,28.7,1,8.3,29.32
CE,2017-02,13,21.4,1,7.7,29.88
ES,2017-02,31,20.7,2,6.5,22.46
SC,2017-02,57,15.8,3,5.3,19.79
